subgroup,L,p,seed,train_size,test_size,batch_size,epochs,steps_per_epoch,lr,random_sharing,device,pl_device,diff_method,single_qubit_block,init_scale,allow_overlap_if_needed,epsilon,broken_K,train_loss,test_loss,train_accuracy,test_accuracy,generalization_gap,num_parameters,subgroup_order,sharing_type,elapsed_seconds,requested_disjoint,actual_disjoint,overlap_count,split_mode,requested_epsilon,actual_epsilon,corrupted_orbit_count,corruption_mode,corrupted_orbit_indices,circuit_family
none,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.7605799528724831,2.5630579264567803,1.0,0.47,0.53,204,1,symmetry,602.6587346669985,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8625144546298121,2.7702411959253017,1.0,0.4183333333333333,0.5816666666666667,204,1,symmetry,597.5977183340583,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.8705934248243863,2.6741141570604348,0.9666666666666668,0.4383333333333333,0.5283333333333333,204,1,symmetry,601.4264399170643,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.765239200559931,2.85938136693046,0.9666666666666668,0.3883333333333333,0.5783333333333334,204,1,symmetry,595.7330224160105,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.7549146227751727,2.666994366109496,1.0,0.5016666666666667,0.4983333333333333,204,1,symmetry,604.0272042090073,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3624135088507008,2.4761772716658648,0.9666666666666668,0.4966666666666666,0.47,204,1,symmetry,599.5525910409633,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.211938919790572,2.5459664270027536,0.9666666666666668,0.51,0.4566666666666666,204,1,symmetry,632.168242292013,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2157365205004722,2.59370257086095,0.95,0.48,0.47,204,1,symmetry,612.6115219169296,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,3,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.222202942264634,2.6667322894411316,0.9833333333333332,0.475,0.5083333333333333,204,1,symmetry,595.6495381250279,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,4,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2338812088294793,2.4920009995657164,0.9666666666666668,0.5066666666666667,0.4599999999999999,204,1,symmetry,576.3308015409857,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.556203618636765,2.369663183713886,0.875,0.555,0.3199999999999999,204,1,symmetry,588.663790749968,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.505075968139947,2.4115107125496267,0.8833333333333333,0.53,0.3533333333333333,204,1,symmetry,596.2090366249904,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4737271668648024,2.5089934010122152,0.8666666666666667,0.495,0.3716666666666667,204,1,symmetry,611.6434837080305,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4764136101435157,2.4486503411998837,0.8666666666666667,0.5183333333333333,0.3483333333333334,204,1,symmetry,617.4047950420063,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.515519744640584,2.5028002226560138,0.85,0.525,0.3249999999999999,204,1,symmetry,610.303040958941,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,0,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.842901105356862,2.2798668848267916,0.7583333333333333,0.5633333333333334,0.1949999999999999,204,1,symmetry,601.2952277079457,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,1,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7703258072796306,2.307202477363704,0.7833333333333333,0.53,0.2533333333333333,204,1,symmetry,599.0228202090366,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,2,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7399889998289102,2.375365547209781,0.7875,0.5016666666666667,0.2858333333333333,204,1,symmetry,579.270389375044,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,3,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7803516045304426,2.2800107826314835,0.7375,0.5616666666666666,0.1758333333333334,204,1,symmetry,573.0479899579659,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,4,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7873378636203665,2.318086897886422,0.7791666666666667,0.5583333333333333,0.2208333333333333,204,1,symmetry,573.2190782079706,True,True,0,disjoint,0.0,0.0,0,none,(),edge
none,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.932508321230781,2.147147206305844,0.7577777777777778,0.66,0.0977777777777777,204,1,symmetry,575.0120839170413,True,False,97,independent_fallback,0.0,0.0,0,none,(),edge
none,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.973950510477299,2.184914645066943,0.7222222222222222,0.6216666666666667,0.1005555555555555,204,1,symmetry,574.3872697919142,True,False,92,independent_fallback,0.0,0.0,0,none,(),edge
none,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9424822389421024,2.192011268446307,0.7022222222222222,0.5833333333333334,0.1188888888888888,204,1,symmetry,574.9410011250293,True,False,96,independent_fallback,0.0,0.0,0,none,(),edge
none,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.915061746447396,2.1084006828718818,0.6977777777777778,0.6233333333333333,0.0744444444444445,204,1,symmetry,576.076758665964,True,False,103,independent_fallback,0.0,0.0,0,none,(),edge
none,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.970816595934868,2.166514151530415,0.6577777777777778,0.58,0.0777777777777778,204,1,symmetry,574.0371896669967,True,False,91,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.221052566492475,2.337520530063696,0.9666666666666668,0.5416666666666666,0.425,108,2,symmetry,549.4176188330166,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.1405686225270264,2.7029075763414765,0.9333333333333332,0.4133333333333333,0.52,108,2,symmetry,550.6802887090016,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3370341099301737,2.547260874705374,0.9,0.495,0.405,108,2,symmetry,549.8726541659562,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.17185716581887,2.5343850163765396,0.9333333333333332,0.5083333333333333,0.425,108,2,symmetry,549.6842660829425,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.141217261823782,2.427074787734802,0.8666666666666667,0.5183333333333333,0.3483333333333334,108,2,symmetry,550.4960700829979,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5546886839754694,2.462489221530961,0.8,0.4766666666666667,0.3233333333333333,108,2,symmetry,549.4204130000435,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4467009426882556,2.482214482544579,0.9,0.545,0.355,108,2,symmetry,549.638624208048,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4388393263604071,2.373884139057898,0.8833333333333333,0.5733333333333334,0.3099999999999999,108,2,symmetry,550.1436068750918,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.6680248540663554,2.437765346020169,0.8,0.5166666666666667,0.2833333333333333,108,2,symmetry,550.1150437919423,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.455044946930027,2.3247756504082497,0.9333333333333332,0.5233333333333333,0.41,108,2,symmetry,549.0119178749155,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7442756072005057,2.2365028309211152,0.775,0.565,0.21,108,2,symmetry,550.2011458330089,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.667831297226425,2.244991544576202,0.775,0.555,0.2199999999999999,108,2,symmetry,551.0869998330018,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.704317072397494,2.254046928306868,0.8333333333333334,0.59,0.2433333333333334,108,2,symmetry,550.4912911660504,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.655361913361205,2.2109293762657436,0.775,0.5583333333333333,0.2166666666666666,108,2,symmetry,550.0491963750683,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.624035584300643,2.3568253264448225,0.8333333333333334,0.5583333333333333,0.275,108,2,symmetry,550.702504875022,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9385950320137573,2.173174233332465,0.7,0.6033333333333334,0.0966666666666665,108,2,symmetry,552.5938778748969,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8170043226970551,2.1388357099278377,0.7333333333333333,0.5933333333333334,0.1399999999999999,108,2,symmetry,551.7494346670574,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.855251698846592,2.2918844959189344,0.7125,0.5583333333333333,0.1541666666666666,108,2,symmetry,552.1373877919978,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8493524220533344,2.115115814817786,0.7416666666666667,0.6066666666666667,0.135,108,2,symmetry,551.4333420420298,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9128036511642672,2.148364791497191,0.7208333333333333,0.6033333333333334,0.1174999999999999,108,2,symmetry,551.0668560829945,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9615558529803536,2.0704469088186843,0.7333333333333333,0.7016666666666667,0.0316666666666666,108,2,symmetry,553.5720439170254,True,False,97,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.924300793136413,2.0048164724453827,0.7222222222222222,0.69,0.0322222222222222,108,2,symmetry,553.7185598330107,True,False,92,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.047085449903859,2.0831539423962964,0.7177777777777777,0.6716666666666666,0.0461111111111111,108,2,symmetry,553.9546796669019,True,False,96,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.03042409635957,2.094200556922076,0.6888888888888889,0.67,0.0188888888888888,108,2,symmetry,553.2808662090683,True,False,103,independent_fallback,0.0,0.0,0,none,(),edge
Z2_rot180,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.974192815361823,2.106627748813192,0.7022222222222222,0.6533333333333333,0.0488888888888888,108,2,symmetry,553.0452802499058,True,False,91,independent_fallback,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.9987731884956348,2.486479655636126,0.9666666666666668,0.5066666666666667,0.4599999999999999,126,2,symmetry,567.4064349160763,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0754448170860018,2.7575342316067455,0.9666666666666668,0.42,0.5466666666666666,126,2,symmetry,579.8872275419999,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0289153693735351,2.5900891996704187,0.9666666666666668,0.5116666666666667,0.4549999999999999,126,2,symmetry,571.1263843330089,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.0223163963902424,2.578835240285939,0.9666666666666668,0.4916666666666666,0.475,126,2,symmetry,563.8907593750628,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,0.9263037297341656,2.666353255216144,1.0,0.475,0.525,126,2,symmetry,566.1238173330203,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5649994322348808,2.3277389421862114,0.8166666666666667,0.545,0.2716666666666666,126,2,symmetry,664.5465395000065,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.250315486603509,2.497182407963517,0.8833333333333333,0.495,0.3883333333333333,126,2,symmetry,566.173756040982,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3358298002793167,2.6034883276936984,0.8833333333333333,0.5083333333333333,0.375,126,2,symmetry,579.8602374999318,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,3,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.459797456198991,2.538200047644421,0.9166666666666666,0.475,0.4416666666666666,126,2,symmetry,576.5535110830097,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,4,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.368096895317663,2.466900941315761,0.9333333333333332,0.5133333333333333,0.42,126,2,symmetry,581.0285994589794,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.6302879243572297,2.2037230057451054,0.875,0.6033333333333334,0.2716666666666666,126,2,symmetry,588.3404372500954,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5161861756531256,2.29148801395588,0.8,0.5466666666666666,0.2533333333333334,126,2,symmetry,581.9296747499611,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5688500478861334,2.4379913508243054,0.8083333333333333,0.545,0.2633333333333333,126,2,symmetry,574.7550781249302,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,3,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5857141215856752,2.2671759051841573,0.8333333333333334,0.5566666666666666,0.2766666666666667,126,2,symmetry,581.3854748330778,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,4,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.6780825602011546,2.3664138842998064,0.8,0.5616666666666666,0.2383333333333334,126,2,symmetry,587.464754958055,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,0,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9085686962551869,2.142617586737636,0.7166666666666667,0.6216666666666667,0.0949999999999999,126,2,symmetry,635.7019886670168,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,1,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8158204993762503,2.195010109478996,0.7708333333333334,0.5933333333333334,0.1775,126,2,symmetry,640.7346719999332,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,2,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8188185045987373,2.2335689047877256,0.7208333333333333,0.5683333333333334,0.1524999999999999,126,2,symmetry,611.8518629580503,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,3,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.769226710306234,2.106821243790733,0.7791666666666667,0.6116666666666667,0.1674999999999999,126,2,symmetry,583.0801745000063,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,4,240,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8892754592563117,2.1330145024470455,0.75,0.6083333333333333,0.1416666666666667,126,2,symmetry,590.2326401669998,True,True,0,disjoint,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,0,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.928085318090804,2.0410318662378235,0.7288888888888889,0.695,0.0338888888888889,126,2,symmetry,586.6808530000271,True,False,97,independent_fallback,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,1,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,2.0230743789766907,2.098717282296229,0.6577777777777778,0.62,0.0377777777777778,126,2,symmetry,576.5388942079153,True,False,92,independent_fallback,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,2,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.9791396171956597,2.053931875378201,0.7355555555555555,0.6783333333333333,0.0572222222222221,126,2,symmetry,572.4726544579025,True,False,96,independent_fallback,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,3,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.915402408516724,1.985647359289877,0.7577777777777778,0.7266666666666667,0.031111111111111,126,2,symmetry,574.2029610420577,True,False,103,independent_fallback,0.0,0.0,0,none,(),edge
Z2_reflection,3,2,4,450,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.892322801432608,2.074999707096023,0.7288888888888889,0.6683333333333333,0.0605555555555555,126,2,symmetry,556.0408492919523,True,False,91,independent_fallback,0.0,0.0,0,none,(),edge
C4,3,2,0,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.502768847395325,2.120108337828925,0.8333333333333334,0.6016666666666667,0.2316666666666667,60,4,symmetry,535.8078152909875,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,1,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.2659264680017714,2.602843621804643,0.8666666666666667,0.4933333333333333,0.3733333333333333,60,4,symmetry,536.100671333028,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,2,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4822019261897386,2.2242510850480373,0.9,0.625,0.275,60,4,symmetry,551.3491804170189,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,3,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.4002704012374243,2.5045656517622557,0.8,0.5183333333333333,0.2816666666666667,60,4,symmetry,560.764933333965,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,4,30,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.3234092448012271,2.3696070049643456,0.8666666666666667,0.5233333333333333,0.3433333333333334,60,4,symmetry,560.765241874964,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,0,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.6665191430353343,2.2167872616315965,0.8333333333333334,0.59,0.2433333333333334,60,4,symmetry,567.6633957909653,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,1,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5491218390646195,2.443851504070206,0.8166666666666667,0.4933333333333333,0.3233333333333333,60,4,symmetry,564.8785252500093,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,2,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.5701269915892506,2.3140049578578448,0.7833333333333333,0.5866666666666667,0.1966666666666666,60,4,symmetry,570.5381948340219,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,3,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.8108547771118857,2.201460216545374,0.7666666666666667,0.615,0.1516666666666667,60,4,symmetry,576.6665432080626,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,4,60,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.6124783260348674,2.1874793106740267,0.8333333333333334,0.5733333333333334,0.26,60,4,symmetry,581.6890605828958,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,0,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7891089640954534,1.991688030338152,0.7666666666666667,0.69,0.0766666666666667,60,4,symmetry,579.4289902080782,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,1,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.7126550359360029,2.180234647854326,0.725,0.5866666666666667,0.1383333333333333,60,4,symmetry,580.6009484169772,True,True,0,disjoint,0.0,0.0,0,none,(),edge
C4,3,2,2,120,600,15,100,30,0.01,False,cpu,lightning.qubit,adjoint,paper,0.1,True,0.0,D4,1.741701664512441,2.120905775671836,0.8083333333333333,0.6783333333333333,0.13,60,4,symmetry,571.8288679170655,True,True,0,disjoint,0.0,0.0,0,none,(),edge
